Identificador do processo de viagem,CÛdigo do Ûrg„o superior,Nome do Ûrg„o superior,Codigo do Ûrg„o pagador,Nome do Ûrgao pagador,CÛdigo da unidade gestora pagadora,Nome da unidade gestora pagadora,Tipo de pagamento,Valor
13472640,26000,MINISTERIO DA EDUCACAO,26242,UNIVERSIDADE FEDERAL DE PERNAMBUCO,153080,UNIVERSIDADE FEDERAL DE PERNAMBUCO,PASSAGEM                      ,651
13472644,25000,MINISTERIO DA FAZENDA,25000,MINISTERIO DA FAZENDA - UNIDADES COM VÕNCULO ,170010,SECRETARIA DA RECEITA FEDERAL DO BRASIL-RFB,PASSAGEM                      ,1231
13472644,25000,MINISTERIO DA FAZENDA,25000,MINISTERIO DA FAZENDA - UNIDADES COM VÕNCULO ,170010,SECRETARIA DA RECEITA FEDERAL DO BRASIL-RFB,PASSAGEM                      ,833
13472810,26000,MINISTERIO DA EDUCACAO,26277,UNIVERSIDADE FEDERAL DE OURO PRETO,154046,UNIVERSIDADE FEDERAL DE OURO PRETO,PASSAGEM                      ,212
13472923,26000,MINISTERIO DA EDUCACAO,26285,FUNDACAO UNIVERSIDADE FEDERAL DE S.J.DEL-REI,154069,FUNDACAO UNIVERSIDADE FEDERAL DE S.J.DEL-REI,PASSAGEM                      ,518
13472948,39000,"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",62201,AGENCIA NACIONAL DE AVIACAO CIVIL,113216,REPRESENTA«√O REGIONAL RIO DE JANEIRO - ANAC,DI¡RIAS                       ,655
13472948,39000,"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",62201,AGENCIA NACIONAL DE AVIACAO CIVIL,113216,REPRESENTA«√O REGIONAL RIO DE JANEIRO - ANAC,PASSAGEM                      ,367
13473020,20000,PRESIDENCIA DA REPUBLICA,20129,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,490011,MIN. DESENV. AGRARIO-ADMINISTRACAO DIRETA,PASSAGEM                      ,617
13473020,20000,PRESIDENCIA DA REPUBLICA,20129,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,490011,MIN. DESENV. AGRARIO-ADMINISTRACAO DIRETA,PASSAGEM                      ,473
13473023,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,7401
13473218,26000,MINISTERIO DA EDUCACAO,26274,FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA,154043,FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA,PASSAGEM                      ,921
13473256,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,3677
13473462,39000,"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",62201,AGENCIA NACIONAL DE AVIACAO CIVIL,113217,REPRESENTA«√O REGIONAL S√O PAULO_- ANAC,PASSAGEM                      ,241
13473462,39000,"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",62201,AGENCIA NACIONAL DE AVIACAO CIVIL,113217,REPRESENTA«√O REGIONAL S√O PAULO_- ANAC,DI¡RIAS                       ,234
13473643,26000,MINISTERIO DA EDUCACAO,26242,UNIVERSIDADE FEDERAL DE PERNAMBUCO,153098,PRO-REITORIA DE PESQ. E POS-GRADUACAO DA UFPE,PASSAGEM                      ,361
13473646,36000,MINISTERIO DA SAUDE,36212,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,253002,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,PASSAGEM                      ,8719
13473671,26000,MINISTERIO DA EDUCACAO,26242,UNIVERSIDADE FEDERAL DE PERNAMBUCO,153098,PRO-REITORIA DE PESQ. E POS-GRADUACAO DA UFPE,PASSAGEM                      ,361
13473756,26000,MINISTERIO DA EDUCACAO,26242,UNIVERSIDADE FEDERAL DE PERNAMBUCO,153098,PRO-REITORIA DE PESQ. E POS-GRADUACAO DA UFPE,PASSAGEM                      ,361
13473788,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,607
13473790,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,424
13473790,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DI¡RIAS                       ,455
13473794,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DI¡RIAS                       ,541
13473795,26000,MINISTERIO DA EDUCACAO,26242,UNIVERSIDADE FEDERAL DE PERNAMBUCO,153098,PRO-REITORIA DE PESQ. E POS-GRADUACAO DA UFPE,PASSAGEM                      ,361
13473797,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DI¡RIAS                       ,6762
13473797,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,312
13473804,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DI¡RIAS                       ,933
13473820,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,295
13473828,20000,PRESIDENCIA DA REPUBLICA,20101,PRESIDENCIA DA REPUBLICA,110001,SECRETARIA DE ADMINISTRACAO/PR,DI¡RIAS                       ,501
13473850,20000,PRESIDENCIA DA REPUBLICA,20101,PRESIDENCIA DA REPUBLICA,110001,SECRETARIA DE ADMINISTRACAO/PR,PASSAGEM                      ,1105
13473850,20000,PRESIDENCIA DA REPUBLICA,20101,PRESIDENCIA DA REPUBLICA,110001,SECRETARIA DE ADMINISTRACAO/PR,PASSAGEM                      ,750
13473867,36000,MINISTERIO DA SAUDE,36212,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,253002,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,PASSAGEM                      ,9399
13473874,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,367
13473923,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,295
13473932,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,2220
13473932,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,312
13473982,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,584
13473982,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,1325
13474058,26000,MINISTERIO DA EDUCACAO,26285,FUNDACAO UNIVERSIDADE FEDERAL DE S.J.DEL-REI,154069,FUNDACAO UNIVERSIDADE FEDERAL DE S.J.DEL-REI,PASSAGEM                      ,518
13474086,39000,"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",62201,AGENCIA NACIONAL DE AVIACAO CIVIL,113216,REPRESENTA«√O REGIONAL RIO DE JANEIRO - ANAC,PASSAGEM                      ,793
13474086,39000,"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",62201,AGENCIA NACIONAL DE AVIACAO CIVIL,113216,REPRESENTA«√O REGIONAL RIO DE JANEIRO - ANAC,PASSAGEM                      ,793
13474204,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,300
13474222,40000,MINISTERIO DO TRABALHO,40000,MINISTERIO DO TRABALHO - UNIDADES COM VÕNCULO,400056,SECRETARIA DE INSPE«√O DO TRABALHO - SIT,DI¡RIAS                       ,684
13474222,40000,MINISTERIO DO TRABALHO,40000,MINISTERIO DO TRABALHO - UNIDADES COM VÕNCULO,400056,SECRETARIA DE INSPE«√O DO TRABALHO - SIT,PASSAGEM                      ,279
13474252,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,123
13474254,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,300
13474255,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,1220
13474255,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,2800
13474255,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,2821
13474255,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,756
13474255,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,1559
13474259,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,300
13474264,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,300
13474342,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,234
13474355,40000,MINISTERIO DO TRABALHO,40000,MINISTERIO DO TRABALHO - UNIDADES COM VÕNCULO,400056,SECRETARIA DE INSPE«√O DO TRABALHO - SIT,DI¡RIAS                       ,593
13474355,40000,MINISTERIO DO TRABALHO,40000,MINISTERIO DO TRABALHO - UNIDADES COM VÕNCULO,400056,SECRETARIA DE INSPE«√O DO TRABALHO - SIT,PASSAGEM                      ,828
13474360,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,343
13474362,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,343
13474387,20000,PRESIDENCIA DA REPUBLICA,20129,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,490011,MIN. DESENV. AGRARIO-ADMINISTRACAO DIRETA,PASSAGEM                      ,502
13474395,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",130090,"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/AM",DI¡RIAS                       ,3228
13474395,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",130090,"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/AM",DI¡RIAS                       ,3021
13474398,26000,MINISTERIO DA EDUCACAO,26232,UNIVERSIDADE FEDERAL DA BAHIA,153038,UNIVERSIDADE FEDERAL DA BAHIA,PASSAGEM                      ,648
13474403,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,327
13474427,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,327
13474429,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,327
13474450,40000,MINISTERIO DO TRABALHO,40000,MINISTERIO DO TRABALHO - UNIDADES COM VÕNCULO,400056,SECRETARIA DE INSPE«√O DO TRABALHO - SIT,PASSAGEM                      ,493
13474450,40000,MINISTERIO DO TRABALHO,40000,MINISTERIO DO TRABALHO - UNIDADES COM VÕNCULO,400056,SECRETARIA DE INSPE«√O DO TRABALHO - SIT,PASSAGEM                      ,628
13474465,42000,MINISTERIO DA CULTURA,42207,INSTITUTO BRASILEIRO DE MUSEUS,423002,IBRAM - SEDE,PASSAGEM                      ,619
13474479,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,260
13474496,40000,MINISTERIO DO TRABALHO,40000,MINISTERIO DO TRABALHO - UNIDADES COM VÕNCULO,400056,SECRETARIA DE INSPE«√O DO TRABALHO - SIT,PASSAGEM                      ,993
13474498,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,260
13474499,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,335
13474534,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,437
13474543,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,699
13474551,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,356
13474553,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,356
13474586,20000,PRESIDENCIA DA REPUBLICA,20129,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,490011,MIN. DESENV. AGRARIO-ADMINISTRACAO DIRETA,PASSAGEM                      ,880
13474664,20000,PRESIDENCIA DA REPUBLICA,20129,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,490011,MIN. DESENV. AGRARIO-ADMINISTRACAO DIRETA,PASSAGEM                      ,617
13474664,20000,PRESIDENCIA DA REPUBLICA,20129,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,490011,MIN. DESENV. AGRARIO-ADMINISTRACAO DIRETA,PASSAGEM                      ,771
13476020,32000,MINISTERIO DE MINAS E ENERGIA,32205,AGENCIA NACIONAL DO PETROLEO,323031,ESCRITORIO CENTRAL DA ANP,PASSAGEM                      ,890
13476020,32000,MINISTERIO DE MINAS E ENERGIA,32205,AGENCIA NACIONAL DO PETROLEO,323031,ESCRITORIO CENTRAL DA ANP,DI¡RIAS                       ,787
13484377,30000,MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA,30000,MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA - U,200005,COORDENACAO-GERAL DE LOGISTICA E CONTRATOS/MJ,PASSAGEM                      ,501
13484377,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,566
13484377,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,1097
13484377,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3009
13484377,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3079
13484377,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3363
13484377,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,106
13484588,26000,MINISTERIO DA EDUCACAO,26449,UNIVERSIDADE FEDERAL DO CARIRI,158719,UNIVERSIDADE FEDERAL DO CARIRI,PASSAGEM                      ,480
13485217,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,2867
13485217,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,1486
13485217,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,2655
13485217,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,2053
13485217,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,690
13485217,30000,MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA,30000,MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA - U,200005,COORDENACAO-GERAL DE LOGISTICA E CONTRATOS/MJ,PASSAGEM                      ,1739
13485366,30000,MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA,30000,MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA - U,200005,COORDENACAO-GERAL DE LOGISTICA E CONTRATOS/MJ,PASSAGEM                      ,1435
13485366,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3026
13485366,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,2354
13485366,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,112
13485366,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,1008
13486879,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,560
13486879,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,1939
13487689,36000,MINISTERIO DA SAUDE,36000,MINISTERIO DA SAUDE - UNIDADES COM VÕNCULO DI,250110,COORDENACAO-GERAL DE MATERIAL E PATRIMONIO,PASSAGEM                      ,531
13489322,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120006,GRUPAMENTO DE APOIO DE BRASILIA,PASSAGEM                      ,744
13489322,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120006,GRUPAMENTO DE APOIO DE BRASILIA,PASSAGEM                      ,486
13491304,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120646,GRUPAMENTO DE APOIO ¿S UNIDADES DO SISTEMA DE,PASSAGEM                      ,1153
13491304,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120646,GRUPAMENTO DE APOIO ¿S UNIDADES DO SISTEMA DE,PASSAGEM                      ,1771
13492298,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120646,GRUPAMENTO DE APOIO ¿S UNIDADES DO SISTEMA DE,PASSAGEM                      ,383
13492738,26000,MINISTERIO DA EDUCACAO,26273,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,154042,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,PASSAGEM                      ,1264
13492738,26000,MINISTERIO DA EDUCACAO,26273,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,154042,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,PASSAGEM                      ,1559
13493117,29000,DEFENSORIA PUBLICA DA UNIAO,29000,DEFENSORIA PUBLICA DA UNIAO - UNIDADES COM VÕ,290002,DPU-SECRETARIA DE EXECU«√O OR«AM. FINANCEIRA,DI¡RIAS                       ,255
13493117,29000,DEFENSORIA PUBLICA DA UNIAO,29000,DEFENSORIA PUBLICA DA UNIAO - UNIDADES COM VÕ,290002,DPU-SECRETARIA DE EXECU«√O OR«AM. FINANCEIRA,DI¡RIAS                       ,3056
13493117,29000,DEFENSORIA PUBLICA DA UNIAO,29000,DEFENSORIA PUBLICA DA UNIAO - UNIDADES COM VÕ,290002,DPU-SECRETARIA DE EXECU«√O OR«AM. FINANCEIRA,PASSAGEM                      ,27
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3363
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3363
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,796
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,1233
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,2354
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,2129
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3363
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,1681
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3363
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3363
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3363
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3363
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,3363
13493351,30000,MINISTERIO DA JUSTICA,30911,FUNDO NACIONAL DE SEGURANCA PUBLICA,200331,SECRETARIA NACIONAL DE SEGURANCA PUBLICA,DI¡RIAS                       ,2354
13493485,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120646,GRUPAMENTO DE APOIO ¿S UNIDADES DO SISTEMA DE,PASSAGEM                      ,471
13493485,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120646,GRUPAMENTO DE APOIO ¿S UNIDADES DO SISTEMA DE,PASSAGEM                      ,391
13494046,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120646,GRUPAMENTO DE APOIO ¿S UNIDADES DO SISTEMA DE,PASSAGEM                      ,411
13494300,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120646,GRUPAMENTO DE APOIO ¿S UNIDADES DO SISTEMA DE,PASSAGEM                      ,903
13494348,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,3312
13494348,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,1063
13494348,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,514
13494348,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,657
13494348,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,573
13494348,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,334
13494348,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,3181
13494348,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,498
13494348,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,2523
13494348,-1,Sigiloso,-1,,-11,Sigilosa,DI¡RIAS                       ,2839
13494387,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120646,GRUPAMENTO DE APOIO ¿S UNIDADES DO SISTEMA DE,PASSAGEM                      ,527
13494387,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120039,GRUPAMENTO DE APOIO DO RIO DE JANEIRO,DI¡RIAS                       ,228
13498040,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120646,GRUPAMENTO DE APOIO ¿S UNIDADES DO SISTEMA DE,PASSAGEM                      ,966
13498169,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120646,GRUPAMENTO DE APOIO ¿S UNIDADES DO SISTEMA DE,PASSAGEM                      ,641
